gid,val,school,parking,home,mercantile,social,public,subway,val_2,val_3,bus_stops,drt,area,yn,total_tota,total_bus,frequency,score
다바683712,0.0000000000000000000000000000000,196.144425193913037,180.269105241910182,243.269642403747639,1093.555577870175057,5020.335441092020119,686.282621519500822,667.822722799969029,0.0000000000000000000000000000000,0.0000000000000000000000000000000,29.335653947764364,2109.640134902237151,6955.508,1,0,0,0,0.638421970236527
다바687744,0.0000000000000000000000000000000,810.837032371338637,1888.783235628634657,496.704486665434672,641.225875150697334,3341.557787405408362,733.630477100666894,608.236227973838027,0.0000000000000000000000000000000,0.0000000000000000000000000000000,304.364301265518407,349.446920830470447,2127.424,1,0,0,99,0.574823946199155
다바684707,465.0000000000000000000000000000000,287.452045463195020,372.255402334554049,379.056622129644836,691.194172213838669,4806.892674225508927,743.853680674480302,253.752772663860469,74.0000000000000000000000000000000,58.0000000000000000000000000000000,64.497567152144128,2464.140455029034001,4790.812,0,0,0,24,0.600194712067571
다바685751,0.0000000000000000000000000000000,458.115522295554229,1293.790702857917040,445.602554410691198,894.202728886077466,2933.819366137664019,985.885122780666165,462.267275332617942,0.0000000000000000000000000000000,0.0000000000000000000000000000000,65.290284914735082,79.620236114737963,2631.516,1,0,0,99,0.595480394622055
다바685750,0.0000000000000000000000000000000,555.253493719102607,1392.254553562526098,401.643021870070640,808.376435416123059,3004.512750890307416,902.516573518901737,391.415058693829451,0.0000000000000000000000000000000,0.0000000000000000000000000000000,50.935779028128891,44.029672638857733,2514.247,1,0,0,99,0.591675013711286
다바662674,375.0000000000000000000000000000000,155.647236974909902,259.318791298713109,369.547220157534184,1124.045086286731475,1932.380703208587875,250.104741718261721,1206.321202243722837,44.0000000000000000000000000000000,38.0000000000000000000000000000000,62.487721307127536,4612.966012100625449,4121.167,0,0,0,0,0.568366309819826
다바665794,0.0000000000000000000000000000000,566.187999536673487,699.486640387509397,487.122931354443494,653.800863352292254,1586.344326393972324,3694.373442755506403,399.663644145394699,0.0000000000000000000000000000000,0.0000000000000000000000000000000,197.901776078638875,2109.505190262024826,5211.140,0,0,0,0,0.597622440322354
다바692690,0.0000000000000000000000000000000,281.626220509051336,183.998608094356740,275.325226867466540,3.644760814508901,3350.949503113986339,397.706709254387533,1261.658824474764970,0.0000000000000000000000000000000,0.0000000000000000000000000000000,57.821538533615779,4171.216307279541979,4493.568,1,15603,2058,47,0.618491255697699
다바651671,0.0000000000000000000000000000000,69.021178591181524,115.940795818878883,284.502665365522944,289.783684403171492,1197.214455408607591,137.543878330396694,1401.639724803350418,0.0000000000000000000000000000000,0.0000000000000000000000000000000,31.498725862362772,5049.296131679080645,5506.527,1,0,0,2,0.611330376433454
다바675800,386.0000000000000000000000000000000,138.889493766668551,237.373982337672970,15.387375216884008,557.376970525112370,2058.305264196449116,3479.998684037925159,819.923333667077259,131.0000000000000000000000000000000,14.0000000000000017763568394002505,96.892320983448855,2905.692437978269481,4176.957,0,0,0,0,0.570851783922537
다바730748,0.0000000000000000000000000000000,98.019944835677407,1733.532963500361575,313.810471946128587,525.648017898897137,2761.178956390281655,1609.788994400755655,4799.429535007768209,0.0000000000000000000000000000000,0.0000000000000000000000000000000,222.771945914129645,3581.831824339320519,3282.465,1,14389,365,78,0.595418516151257
다바672697,0.0000000000000000000000000000000,473.136953698606931,437.474775892060563,642.242732442382135,897.712639129581589,3259.595249964293089,534.734241326999950,1715.131596986182103,0.0000000000000000000000000000000,0.0000000000000000000000000000000,107.283046755138869,2475.575698044136061,4079.171,1,0,0,16,0.564908252845752
다바700682,23.0000000000000000000000000000000,292.205294159473851,667.286736436213005,162.097799911425255,804.568772726964994,2225.645982495788303,209.877437590032997,1599.217041278560600,9.0000000000000000000000000000000,0.0000000000000000000000000000000,342.372414677316669,5302.385839620649676,4289.148,0,25330,449,99,0.664708109686835
다바652722,0.0000000000000000000000000000000,311.530684762547821,876.893426476899322,358.638195351593993,3444.622647324597438,4220.576237294701968,751.054315098364441,3785.332881712637118,0.0000000000000000000000000000000,0.0000000000000000000000000000000,287.750618912587413,662.521433592844005,6906.365,1,0,0,43,0.665276843847405
다바652682,7.0000000000000008881784197001252,488.495274962857366,101.009437680248453,569.875889307222678,91.699064083062822,828.543128718060188,152.308619492611143,2227.947313471949201,0.0000000000000000000000000000000,0.0000000000000000000000000000000,109.650281681156585,3949.258958134837030,4784.460,1,0,0,59,0.634290067103196
